data_iniSE,SE,casos_est,casos_est_min,casos_est_max,casos,p_rt1,p_inc100k,Localidade_id,nivel,id,versao_modelo,tweet,Rt,pop,tempmin,umidmax,receptivo,transmissao,nivel_inc,notif_accum_year
2018-02-11,201807,207.0,207,207,207,2.17528e-05,8.23569,0,2,310620020180718573,2020-11-07,32.0,1.0,2513451.0,19.0,84.0,1,0,1,19419
2018-02-18,201808,248.0,248,248,248,0.492877,9.86691,0,2,310620020180818573,2020-11-07,22.0,1.0,2513451.0,20.0,91.0,1,0,1,19419
2018-02-25,201809,249.0,249,249,249,0.837589,9.9067,0,2,310620020180918573,2020-11-07,31.0,1.0,2513451.0,21.0,91.0,1,0,1,19419
2018-03-04,201810,289.0,289,289,289,0.986808,11.4981,0,2,310620020181018573,2020-11-07,23.0,1.0,2513451.0,20.0,93.0,1,1,1,19419
2018-03-11,201811,247.0,247,247,247,0.363804,9.82713,0,2,310620020181118573,2020-11-07,18.0,1.0,2513451.0,20.0,91.0,1,0,1,19419
2018-03-18,201812,205.0,205,205,205,0.00483748,8.15612,0,2,310620020181218573,2020-11-07,28.0,1.0,2513451.0,19.0,92.0,1,0,1,19419
2018-03-25,201813,148.0,148,148,148,1.14029e-06,5.88832,0,2,310620020181318573,2020-11-07,30.0,1.0,2513451.0,18.0,89.0,1,0,0,19419
2018-04-01,201814,199.0,199,199,199,0.385441,7.9174,0,2,310620020181418573,2020-11-07,19.0,1.0,2513451.0,19.0,87.0,1,0,1,19419
2018-04-04,201815,181.0,181,181,181,0.495336,7.20125,0,2,310620020181518573,2020-11-07,16.0,1.0,2513451.0,18.0,87.0,1,0,1,19419
2018-04-15,201816,158.0,158,158,158,0.118144,6.28618,0,2,310620020181618573,2020-11-07,20.0,1.0,2513451.0,17.0,86.0,1,0,0,19419
2018-04-22,201817,139.0,139,139,139,0.0207687,5.53025,0,2,310620020181718573,2020-11-07,17.0,1.0,2513451.0,17.0,89.0,1,0,0,19419
2018-04-29,201818,122.0,122,122,122,0.0144631,4.85388,0,2,310620020181818573,2020-11-07,16.0,1.0,2513451.0,16.0,83.0,1,0,0,19419
2018-05-06,201819,116.0,116,116,116,0.0652602,4.61517,0,1,310620020181918573,2020-11-07,21.0,1.0,2513451.0,16.0,88.0,0,0,0,19419
2018-05-13,201820,114.0,114,114,114,0.220934,4.5356,0,1,310620020182018573,2020-11-07,16.0,1.0,2513451.0,18.0,88.0,1,0,0,19419
2018-05-20,201821,106.0,106,106,106,0.223611,4.21731,0,1,310620020182118573,2020-11-07,17.0,1.0,2513451.0,14.0,88.0,0,0,0,19419
2018-05-27,201822,70.0,70,70,70,0.0012872,2.78502,0,1,310620020182218573,2020-11-07,32.0,1.0,2513451.0,14.0,88.0,0,0,0,19419
2018-06-03,201823,96.0,96,96,96,0.419882,3.81945,0,1,310620020182318573,2020-11-07,11.0,1.0,2513451.0,16.0,88.0,0,0,0,19419
2018-06-10,201824,81.0,81,81,81,0.298226,3.22266,0,1,310620020182418573,2020-11-07,,1.0,2513451.0,16.0,90.0,0,0,0,19419
2018-06-17,201825,81.0,81,81,81,0.36465,3.22266,0,1,310620020182518573,2020-11-07,13.0,1.0,2513451.0,15.0,89.0,0,0,0,19419
2018-06-24,201826,75.0,75,75,75,0.25023,2.98395,0,1,310620020182618573,2020-11-07,15.0,1.0,2513451.0,16.0,84.0,0,0,0,19419
2018-07-01,201827,81.0,81,81,81,0.533295,3.22266,0,1,310620020182718573,2020-11-07,9.0,1.0,2513451.0,14.0,85.0,0,0,0,19419
2018-07-08,201828,77.0,77,77,77,0.465177,3.06352,0,1,310620020182818573,2020-11-07,16.0,1.0,2513451.0,14.0,85.0,0,0,0,19419
2018-07-15,201829,75.0,75,75,75,0.407398,2.98395,0,1,310620020182918573,2020-11-07,16.0,1.0,2513451.0,14.0,87.0,0,0,0,19419
2018-07-22,201830,41.0,41,41,41,0.000687129,1.63122,0,1,310620020183018573,2020-11-07,16.0,1.0,2513451.0,14.0,82.0,0,0,0,19419
2018-07-29,201831,73.0,73,73,73,0.69052,2.90437,0,1,310620020183118573,2020-11-07,29.0,1.0,2513451.0,15.0,87.0,0,0,0,19419
2018-08-05,201832,72.0,72,72,72,0.840221,2.86459,0,1,310620020183218573,2020-11-07,24.0,1.0,2513451.0,16.0,90.0,1,0,0,19419
2018-08-12,201833,69.0,69,69,69,0.64898,2.74523,0,1,310620020183318573,2020-11-07,3.0,1.0,2513451.0,14.0,78.0,0,0,0,19419
2018-08-19,201834,75.0,75,75,75,0.67105,2.98395,0,1,310620020183418573,2020-11-07,,1.0,2513451.0,15.0,81.0,0,0,0,19419
2018-08-26,201835,62.0,62,62,62,0.227367,2.46673,0,1,310620020183518573,2020-11-07,,1.0,2513451.0,16.0,82.0,1,0,0,19419
2018-09-02,201836,66.0,66,66,66,0.384761,2.62587,0,1,310620020183618573,2020-11-07,11.0,1.0,2513451.0,16.0,76.0,0,0,0,19419
2018-09-09,201837,79.0,79,79,79,0.836867,3.14309,0,1,310620020183718573,2020-11-07,,1.0,2513451.0,16.0,78.0,0,0,0,19419
2018-09-16,201838,92.0,92,92,92,0.960307,3.66031,0,1,310620020183818573,2020-11-07,,1.0,2513451.0,18.0,90.0,1,0,0,19419
2018-09-23,201839,108.0,108,108,108,0.982505,4.29688,0,1,310620020183918573,2020-11-07,,1.0,2513451.0,18.0,74.0,1,0,0,19419
2018-09-30,201840,117.0,117,117,117,0.957848,4.65495,0,2,310620020184018573,2020-11-07,,1.0,2513451.0,19.0,84.0,1,0,0,19419
2018-10-07,201841,98.0,98,98,98,0.348517,3.89902,0,2,310620020184118573,2020-11-07,,1.0,2513451.0,19.0,75.0,1,0,0,19419
2018-10-14,201842,135.0,135,135,135,0.951505,5.3711,0,2,310620020184218573,2020-11-07,,1.0,2513451.0,19.0,92.0,1,0,0,19419
2018-10-21,201843,142.0,142,142,142,0.9604,5.6496,0,2,310620020184318573,2020-11-07,,1.0,2513451.0,17.0,87.0,1,0,0,19419
2018-10-28,201844,108.0,108,108,108,0.138098,4.29688,0,2,310620020184418573,2020-11-07,,1.0,2513451.0,18.0,88.0,1,0,0,19419
2018-11-04,201845,139.0,139,139,139,0.734256,5.53025,0,2,310620020184518573,2020-11-07,,1.0,2513451.0,17.0,89.0,1,0,0,19419
2018-11-11,201846,111.0,111,111,111,0.183725,4.41624,0,2,310620020184618573,2020-11-07,,1.0,2513451.0,18.0,88.0,1,0,0,19419
2018-11-18,201847,138.0,138,138,138,0.803855,5.49046,0,2,310620020184718573,2020-11-07,,1.0,2513451.0,18.0,90.0,1,0,0,19419
2018-11-25,201848,180.0,180,180,180,0.998672,7.16147,0,2,310620020184818573,2020-11-07,,1.0,2513451.0,17.0,88.0,1,1,1,19419
2018-12-02,201849,187.0,187,187,187,0.991699,7.43997,0,3,310620020184918573,2020-11-07,,1.0,2513451.0,18.0,91.0,1,1,1,19419
2018-12-09,201850,223.0,223,223,223,0.996819,8.87226,0,3,310620020185018573,2020-11-07,,1.0,2513451.0,17.0,87.0,1,1,1,19419
