id,aps,se,data,tweets,casos,casos_est,casos_estmin,casos_estmax,tmin,rt,prt1,inc,nivel,sum
354600,5.3,201814,2018-04-01,44.0,19,19.0,19.0,19.0,24.4286,1.13977,0.653529,5.15556,2,1302
820435,5.1,202018,2020-04-26,27.0,1,1.0,1.0,1.0,,0.239571,0.0553939,0.152468,2,1302
358920,5.3,201815,2018-04-04,19.0,32,32.0,32.0,32.0,23.1429,1.65004,0.962647,8.68305,2,1302
363250,5.3,201816,2018-04-15,13.0,21,21.0,21.0,21.0,20.8571,0.934748,0.411175,5.69825,2,1302
384937,5.3,201817,2018-04-22,25.0,19,19.0,19.0,19.0,21.1429,0.769934,0.192535,5.15556,2,1302
384938,5.3,201818,2018-04-29,23.0,31,31.0,31.0,31.0,20.7143,1.31842,0.846965,8.41171,1,1302
384939,5.3,201819,2018-05-06,20.0,25,25.0,25.0,25.0,20.7143,1.07172,0.595914,6.78363,1,1302
384940,5.3,201820,2018-05-13,49.0,13,13.0,13.0,13.0,20.8571,0.520125,0.0235624,3.52749,1,1302
639058,2.1,201934,2019-08-18,23.0,5,5.0,5.0,5.0,19.5714,0.791234,0.341832,0.904665,1,1302
644090,2.1,201935,2019-08-25,17.0,6,6.0,6.0,6.0,19.5714,1.21012,0.628277,1.0856,1,1302
649132,2.1,201936,2019-09-01,54.0,5,5.0,5.0,5.0,20.7143,0.97217,0.481319,0.904665,1,1302
654184,2.1,201937,2019-09-08,19.0,4,4.0,4.0,4.0,21.4286,0.7527,0.325854,0.723732,1,1302
659246,2.1,201938,2019-09-15,29.0,3,3.0,3.0,3.0,22.5714,0.616152,0.239774,0.542799,1,1302
389329,5.3,201821,2018-05-20,22.0,27,27.0,27.0,27.0,16.1429,1.16373,0.70571,7.32633,1,1302
389330,5.3,201822,2018-05-27,17.0,17,17.0,17.0,17.0,17.2857,0.831403,0.284308,4.61287,1,1302
402521,5.3,201823,2018-06-03,12.0,32,32.0,32.0,32.0,19.7143,1.50602,0.931935,8.68305,1,1302
402522,5.3,201824,2018-06-10,,21,21.0,21.0,21.0,20.2857,0.912688,0.379888,5.69825,1,1302
411352,5.3,201825,2018-06-17,8.0,37,37.0,37.0,37.0,17.8571,1.45226,0.929472,10.0398,1,1302
415791,5.3,201826,2018-06-24,15.0,44,44.0,44.0,44.0,20.1429,1.54447,0.967092,11.9392,1,1302
415792,5.3,201827,2018-07-01,12.0,19,19.0,19.0,19.0,20.0,0.570203,0.0222653,5.15556,1,1302
420251,5.3,201828,2018-07-08,15.0,9,9.0,9.0,9.0,17.1429,0.273825,5.98435e-05,2.44211,1,1302
420252,5.3,201829,2018-07-15,11.0,14,14.0,14.0,14.0,17.5714,0.602014,0.0615468,3.79884,1,1302
442571,5.3,201830,2018-07-22,11.0,13,13.0,13.0,13.0,18.8571,0.877203,0.363024,3.52749,1,1302
442572,5.3,201831,2018-07-29,17.0,8,8.0,8.0,8.0,19.7143,0.636624,0.150965,2.17076,1,1302
447062,5.3,201832,2018-08-05,29.0,8,8.0,8.0,8.0,17.4286,0.694589,0.20727,2.17076,1,1302
451562,5.3,201833,2018-08-12,3.0,11,11.0,11.0,11.0,17.0,1.1381,0.617816,2.9848,1,1302
456072,5.3,201834,2018-08-19,,3,3.0,3.0,3.0,19.0,0.34419,0.0379125,0.814036,1,1302
460637,5.3,201835,2018-08-26,2.0,11,11.0,11.0,11.0,19.0,1.35212,0.748805,2.9848,1,1302
460638,5.3,201836,2018-09-02,5.0,2,2.0,2.0,2.0,19.5714,0.281797,0.0332185,0.542691,1,1302
460639,5.3,201837,2018-09-09,,3,3.0,3.0,3.0,20.0,0.469437,0.120368,0.814036,1,1302
892895,1.0,202031,2020-07-26,29.0,1,1.0,1.0,1.0,20.5714,2.68445,0.772434,0.4406,1,1302
893448,2.1,202031,2020-07-26,29.0,0,0.0,0.0,0.0,20.5714,0.0,0.0,0.0,1,1302
478598,5.2,201845,2018-11-04,,10,10.0,10.0,10.0,21.5714,1.22464,0.670332,1.50331,1,1302
869847,5.2,202025,2020-06-14,33.0,3,3.0,3.0,3.0,18.0,1.37006,0.65056,0.450994,1,1302
457440,2.2,201837,2018-09-09,,2,2.0,2.0,2.0,20.1429,0.663668,0.310417,0.538909,1,1302
457441,2.2,201838,2018-09-16,,3,3.0,3.0,3.0,22.0,0.978292,0.488445,0.808364,1,1302
457442,2.2,201839,2018-09-23,,3,3.0,3.0,3.0,23.0,1.11855,0.557127,0.808364,1,1302
457443,2.2,201840,2018-09-30,,1,1.0,1.0,1.0,23.0,0.378099,0.159894,0.269455,1,1302
462016,2.2,201841,2018-10-07,,0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,1,1302
466601,2.2,201842,2018-10-14,,1,1.0,1.0,1.0,22.1429,0.740691,0.392267,0.269455,1,1302
466602,2.2,201843,2018-10-21,,5,5.0,5.0,5.0,21.4286,5.3796,0.97246,1.34727,1,1302
471205,2.2,201844,2018-10-28,,2,2.0,2.0,2.0,22.1429,1.12078,0.549283,0.538909,1,1302
475820,2.2,201845,2018-11-04,,1,1.0,1.0,1.0,21.1429,0.359783,0.145647,0.269455,1,1302
475821,2.2,201846,2018-11-11,,2,2.0,2.0,2.0,23.5714,0.829249,0.414532,0.538909,1,1302
480454,2.2,201847,2018-11-18,,1,1.0,1.0,1.0,21.8571,0.589899,0.308811,0.269455,1,1302
485099,2.2,201848,2018-11-25,,5,5.0,5.0,5.0,22.5714,2.97255,0.920439,1.34727,1,1302
485100,2.2,201849,2018-12-02,,8,8.0,8.0,8.0,22.1429,3.09096,0.962525,2.15564,1,1302
499083,2.2,201850,2018-12-09,,5,5.0,5.0,5.0,22.5714,1.09767,0.559788,1.34727,2,1302
503756,2.2,201851,2018-12-16,,2,2.0,2.0,2.0,25.7143,0.345888,0.0707053,0.538909,2,1302
508443,2.2,201852,2018-12-23,,3,3.0,3.0,3.0,24.2857,0.618423,0.241624,0.808364,2,1302
508444,2.2,201901,2018-12-30,11.0,7,7.0,7.0,7.0,25.8571,1.96309,0.866784,1.88618,2,1302
508445,2.2,201902,2019-01-06,23.0,6,6.0,6.0,6.0,25.1429,1.49828,0.745549,1.61673,2,1302
629549,2.2,201930,2019-07-21,46.0,7,7.0,7.0,7.0,19.2857,0.36766,0.00719038,1.88618,1,1302
634544,2.2,201931,2019-07-28,23.0,11,11.0,11.0,11.0,20.2857,0.905891,0.404418,2.964,1,1302
634545,2.2,201932,2019-08-04,81.0,6,6.0,6.0,6.0,18.7143,0.641069,0.188102,1.61673,1,1302
639561,2.2,201934,2019-08-18,23.0,3,3.0,3.0,3.0,19.5714,0.361115,0.0467725,0.808364,1,1302
644594,2.2,201935,2019-08-25,17.0,7,7.0,7.0,7.0,19.5714,0.924647,0.438872,1.88618,1,1302
649637,2.2,201936,2019-09-01,54.0,1,1.0,1.0,1.0,20.7143,0.167226,0.0158438,0.269455,1,1302
654690,2.2,201937,2019-09-08,19.0,3,3.0,3.0,3.0,21.4286,0.660149,0.275197,0.808364,1,1302
659753,2.2,201938,2019-09-15,29.0,6,6.0,6.0,6.0,22.5714,1.78884,0.819214,1.61673,1,1302
702758,4.0,201949,2019-12-01,41.0,7,7.0,7.0,7.0,22.7143,1.59284,0.789571,0.834469,2,1302
708817,4.0,201950,2019-12-08,24.0,3,3.0,3.0,3.0,23.2857,0.55578,0.190124,0.357629,1,1302
708818,4.0,201951,2019-12-15,14.0,17,17.0,17.0,17.0,24.7143,2.77869,0.990742,2.02657,2,1302
708819,4.0,201952,2019-12-22,2.0,13,13.0,13.0,13.0,24.8571,1.61529,0.865787,1.54973,2,1302
734919,4.0,202001,2019-12-29,12.0,1,1.0,1.0,1.0,24.6667,0.0899879,0.000451618,0.11921,2,1302
734920,4.0,202002,2020-01-05,13.0,11,11.0,11.0,11.0,26.0,1.06492,0.558863,1.31131,2,1302
