data_iniSE,SE,casos_est,casos_est_min,casos_est_max,casos,p_rt1,p_inc100k,Localidade_id,nivel,id,versao_modelo,tweet,Rt,pop,tempmin,umidmax,receptivo,transmissao,nivel_inc,notif_accum_year
2018-02-11,201807,23.0,23.0,23.0,23.0,0.309947,6.3968,0,2,320530920180718305,2020-02-13,0.0,1.0,359555.0,23.0,,,,,
2018-02-18,201808,41.0,41.0,41.0,41.0,0.948757,11.403,0,2,320530920180818305,2020-02-13,0.0,1.0,359555.0,25.0,,,,,
2018-02-25,201809,29.0,29.0,29.0,29.0,0.461816,8.06553,0,2,320530920180918305,2020-02-13,0.0,1.0,359555.0,25.0,,,,,
2018-03-04,201810,29.0,29.0,29.0,29.0,0.334056,8.06553,0,2,320530920181018305,2020-02-13,0.0,1.0,359555.0,25.0,,,,,
2018-03-11,201811,32.0,32.0,32.0,32.0,0.519044,8.89989,0,2,320530920181118305,2020-02-13,0.0,1.0,359555.0,25.0,,,,,
2018-03-18,201812,32.0,32.0,32.0,32.0,0.581945,8.89989,0,2,320530920181218305,2020-02-13,0.0,1.0,359555.0,24.0,,,,,
2018-03-25,201813,21.0,21.0,21.0,21.0,0.0922423,5.84055,0,2,320530920181318305,2020-02-13,0.0,1.0,359555.0,23.0,,,,,
2018-04-01,201814,35.0,35.0,35.0,35.0,0.767832,9.73425,0,2,320530920181418305,2020-02-13,0.0,1.0,359555.0,24.0,,,,,
2018-04-04,201815,31.0,31.0,31.0,31.0,0.646837,8.62177,0,2,320530920181518305,2020-02-13,0.0,1.0,359555.0,22.0,,,,,
2018-04-15,201816,30.0,30.0,30.0,30.0,0.497997,8.34365,0,2,320530920181618305,2020-02-13,0.0,1.0,359555.0,21.0,,,,,
2018-04-22,201817,42.0,42.0,42.0,42.0,0.887975,11.6811,0,2,320530920181718305,2020-02-13,0.0,1.0,359555.0,21.0,,,,,
2018-04-29,201818,44.0,44.0,44.0,44.0,0.872979,12.2373,0,1,320530920181818305,2020-02-13,0.0,1.0,359555.0,20.0,,,,,
2018-05-06,201819,56.0,56.0,56.0,56.0,0.955274,15.5748,0,1,320530920181918305,2020-02-13,0.0,1.0,359555.0,20.0,,,,,
2018-05-13,201820,56.0,56.0,56.0,56.0,0.838813,15.5748,0,1,320530920182018305,2020-02-13,0.0,1.0,359555.0,22.0,,,,,
2018-05-20,201821,45.0,45.0,45.0,45.0,0.257148,12.5155,0,1,320530920182118305,2020-02-13,0.0,1.0,359555.0,20.0,,,,,
2018-05-27,201822,39.0,39.0,39.0,39.0,0.0938546,10.8467,0,1,320530920182218305,2020-02-13,0.0,1.0,359555.0,19.0,,,,,
2018-06-03,201823,29.0,29.0,29.0,29.0,0.0253166,8.06553,0,1,320530920182318305,2020-02-13,0.0,1.0,359555.0,20.0,,,,,
2018-06-10,201824,73.0,73.0,73.0,73.0,0.998906,20.3029,0,1,320530920182418305,2020-02-13,0.0,2.0,359555.0,21.0,,,,,
2018-06-17,201825,29.0,29.0,29.0,29.0,0.048817,8.06553,0,1,320530920182518305,2020-02-13,0.0,1.0,359555.0,19.0,,,,,
2018-06-24,201826,44.0,44.0,44.0,44.0,0.343427,12.2373,0,1,320530920182618305,2020-02-13,0.0,1.0,359555.0,20.0,,,,,
2018-07-01,201827,22.0,22.0,22.0,22.0,0.00432202,6.11867,0,1,320530920182718305,2020-02-13,0.0,1.0,359555.0,18.0,,,,,
2018-07-08,201828,48.0,48.0,48.0,48.0,0.894733,13.3498,0,1,320530920182818305,2020-02-13,0.0,1.0,359555.0,18.0,,,,,
2018-07-15,201829,45.0,45.0,45.0,45.0,0.860418,12.5155,0,1,320530920182918305,2020-02-13,0.0,1.0,359555.0,18.0,,,,,
2018-07-22,201830,29.0,29.0,29.0,29.0,0.101627,8.06553,0,1,320530920183018305,2020-02-13,0.0,1.0,359555.0,17.0,,,,,
2018-07-29,201831,29.0,29.0,29.0,29.0,0.0997226,8.06553,0,1,320530920183118305,2020-02-13,0.0,1.0,359555.0,21.0,,,,,
2018-08-05,201832,51.0,51.0,51.0,51.0,0.95977,14.1842,0,1,320530920183218305,2020-02-13,0.0,1.0,359555.0,21.0,,,,,
2018-08-12,201833,26.0,26.0,26.0,26.0,0.123114,7.23116,0,1,320530920183318305,2020-02-13,0.0,1.0,359555.0,19.0,,,,,
2018-08-19,201834,36.0,36.0,36.0,36.0,0.436114,10.0124,0,1,320530920183418305,2020-02-13,0.0,1.0,359555.0,19.0,,,,,
2018-08-26,201835,29.0,29.0,29.0,29.0,0.236328,8.06553,0,1,320530920183518305,2020-02-13,0.0,1.0,359555.0,19.0,,,,,
2018-09-02,201836,24.0,24.0,24.0,24.0,0.144489,6.67492,0,1,320530920183618305,2020-02-13,0.0,1.0,359555.0,21.0,,,,,
2018-09-09,201837,25.0,25.0,25.0,25.0,0.288354,6.95304,0,1,320530920183718305,2020-02-13,0.0,1.0,359555.0,19.0,,,,,
2018-09-16,201838,30.0,30.0,30.0,30.0,0.689094,8.34365,0,1,320530920183818305,2020-02-13,0.0,1.0,359555.0,23.0,,,,,
2018-09-23,201839,24.0,24.0,24.0,24.0,0.384273,6.67492,0,1,320530920183918305,2020-02-13,0.0,1.0,359555.0,23.0,,,,,
2018-09-30,201840,34.0,34.0,34.0,34.0,0.813581,9.45613,0,2,320530920184018305,2020-02-13,0.0,1.0,359555.0,23.0,,,,,
2018-10-07,201841,31.0,31.0,31.0,31.0,0.643299,8.62177,0,2,320530920184118305,2020-02-13,0.0,1.0,359555.0,23.0,,,,,
2018-10-14,201842,33.0,33.0,33.0,33.0,0.629413,9.17801,0,2,320530920184218305,2020-02-13,0.0,1.0,359555.0,22.0,,,,,
2018-10-21,201843,39.0,39.0,39.0,39.0,0.794362,10.8467,0,2,320530920184318305,2020-02-13,0.0,1.0,359555.0,21.0,,,,,
2018-10-28,201844,16.0,16.0,16.0,16.0,0.00684197,4.44994,0,2,320530920184418305,2020-02-13,0.0,0.0,359555.0,22.0,,,,,
2018-11-04,201845,25.0,25.0,25.0,25.0,0.224702,6.95304,0,2,320530920184518305,2020-02-13,0.0,1.0,359555.0,22.0,,,,,
2018-11-11,201846,19.0,19.0,19.0,19.0,0.187055,5.28431,0,1,320530920184618305,2020-02-13,0.0,1.0,359555.0,23.0,,,,,
2018-11-18,201847,32.0,32.0,32.0,32.0,0.905108,8.89989,0,1,320530920184718305,2020-02-13,0.0,1.0,359555.0,23.0,,,,,
2018-11-25,201848,34.0,34.0,34.0,34.0,0.901464,9.45613,0,2,320530920184818305,2020-02-13,0.0,1.0,359555.0,23.0,,,,,
2018-12-02,201849,52.0,52.0,52.0,52.0,0.99343,14.4623,0,2,320530920184918305,2020-02-13,0.0,2.0,359555.0,23.0,,,,,
2018-12-09,201850,15.0,15.0,15.0,15.0,0.00138399,4.17182,0,2,320530920185018305,2020-02-13,0.0,0.0,359555.0,23.0,,,,,
2018-12-16,201851,2.0,2.0,2.0,2.0,7.38836e-10,0.556243,0,2,320530920185118305,2020-02-13,0.0,0.0,359555.0,25.0,,,,,
2018-12-23,201852,3.0,3.0,3.0,3.0,2.9368e-05,0.834365,0,2,320530920185218305,2020-02-13,0.0,0.0,359555.0,24.0,,,,,
2018-12-30,201901,45.0,45.0,45.0,45.0,0.999999,12.5155,0,2,320530920190118305,2020-02-13,0.0,4.0,359555.0,25.0,,,,,
2019-01-06,201902,75.0,75.0,75.0,75.0,1.0,20.8591,0,2,320530920190218305,2020-02-13,0.0,4.0,359555.0,24.0,,,,,
2019-01-13,201903,91.0,91.0,91.0,91.0,0.999992,25.3091,0,2,320530920190318305,2020-02-13,0.0,2.0,359555.0,25.0,,,,,
2019-01-20,201904,82.0,82.0,82.0,82.0,0.884209,22.806,0,2,320530920190418305,2020-02-13,0.0,1.0,359555.0,25.0,,,,,
2019-01-27,201905,109.0,109.0,109.0,109.0,0.972114,30.3153,0,2,320530920190518305,2020-02-13,0.0,1.0,359555.0,24.0,,,,,
2019-02-03,201906,79.0,79.0,79.0,79.0,0.206028,21.9716,0,2,320530920190618305,2020-02-13,0.0,1.0,359555.0,24.0,,,,,
2019-02-10,201907,85.0,85.0,85.0,85.0,0.291729,23.6403,0,2,320530920190718305,2020-02-13,0.0,1.0,359555.0,25.0,,,,,
2019-02-17,201908,104.0,104.0,104.0,104.0,0.86193,28.9246,0,2,320530920190818305,2020-02-13,0.0,1.0,359555.0,25.0,,,,,
2019-02-24,201909,86.0,86.0,86.0,86.0,0.407323,23.9185,0,2,320530920190918305,2020-02-13,0.0,1.0,359555.0,26.0,,,,,
2019-03-03,201910,71.0,71.0,71.0,71.0,0.0535368,19.7466,0,2,320530920191018305,2020-02-13,0.0,1.0,359555.0,25.0,,,,,
2019-03-10,201911,135.0,135.0,135.0,135.0,0.999026,37.5464,0,2,320530920191118305,2020-02-13,0.0,2.0,359555.0,25.0,,,,,
2019-03-17,201912,178.0,178.0,178.0,178.0,1.0,49.5056,0,2,320530920191218305,2020-02-13,0.0,2.0,359555.0,25.0,,,,,
